City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
280,Pacific Grove,US,2022-05-25 02:38:19,36.6177,-121.9166,73.51,68,0,1.99
281,Saint Anthony,US,2022-05-25 02:38:20,45.0205,-93.218,62.49,38,0,8.05
282,Tarata,BO,2022-05-25 02:38:21,-17.6167,-66.0167,55.08,72,0,5.01
283,Mpanda,TZ,2022-05-25 02:38:21,-6.3655,31.0409,66.11,72,91,1.81
284,New Norfolk,AU,2022-05-25 02:38:21,-42.7826,147.0587,58.91,56,0,2.62
285,Gagnoa,CI,2022-05-25 02:38:22,6.1293,-5.9437,70.34,99,100,1.19
286,Monrovia,LR,2022-05-25 02:38:23,6.3005,-10.7969,74.46,93,100,10.02
287,Tabou,CI,2022-05-25 02:38:23,4.423,-7.3528,73.51,91,100,6.53
288,Victoria,HK,2022-05-25 02:38:24,22.2855,114.1577,81.97,90,100,8.99
289,Phek,IN,2022-05-25 02:38:24,25.6667,94.5,66.18,84,95,2.06
290,Kavaratti,IN,2022-05-25 02:38:25,10.5669,72.642,83.26,78,13,8.75
291,Huarmey,PE,2022-05-25 02:38:25,-10.0681,-78.1522,64.06,87,1,8.19
292,Soma,TR,2022-05-25 02:38:26,39.1855,27.6094,65.34,66,6,2.15
293,Viedma,AR,2022-05-25 02:38:26,-40.8135,-62.9967,47.16,62,66,8.41
294,Aksu,CN,2022-05-25 02:38:27,41.1231,80.2644,83.16,21,100,11.95
295,Halifax,CA,2022-05-25 02:33:59,44.6453,-63.5724,46.4,89,40,2.3
296,Acapulco,MX,2022-05-25 02:38:29,16.8634,-99.8901,82.22,78,100,9.22
297,Ust-Ishim,RU,2022-05-25 02:38:30,57.6935,71.1665,69.03,50,95,6.17
298,Belgaum,IN,2022-05-25 02:38:30,15.8667,74.5,73.31,83,20,3.44
299,Mandera,KE,2022-05-25 02:38:31,3.9366,41.867,77.05,72,83,8.59
300,Singaparna,ID,2022-05-25 02:38:31,-7.3515,108.111,82.6,68,100,3.53
301,Shubarshi,KZ,2022-05-25 02:38:32,48.5872,57.1869,55.29,82,100,15.03
302,Beringovskiy,RU,2022-05-25 02:38:32,63.05,179.3167,43.27,63,3,6.6
303,Saint Albans,GB,2022-05-25 02:38:33,51.75,-0.3333,49.71,90,88,5.75
304,Kungurtug,RU,2022-05-25 02:38:33,50.5994,97.5228,70.72,31,26,1.36
305,Shangzhi,CN,2022-05-25 02:38:34,45.2167,127.9667,50.11,96,100,11.92
306,Kargasok,RU,2022-05-25 02:38:34,59.0556,80.8572,70.43,54,51,2.42
307,Muriwai Beach,NZ,2022-05-25 02:38:35,-36.8167,174.45,63.36,69,33,13.71
308,Chaparral,CO,2022-05-25 02:38:36,3.7232,-75.4832,67.5,93,100,4.61
309,Vallenar,CL,2022-05-25 02:38:36,-28.5708,-70.7581,61.84,49,78,0.92
310,Puerto Asis,CO,2022-05-25 02:38:37,0.5133,-76.5007,71.06,99,100,0.45
311,Verkhoshizhemye,RU,2022-05-25 02:38:37,58.011,49.1038,37.38,82,18,1.41
312,Asyut,EG,2022-05-25 02:38:38,27.181,31.1837,71.78,35,0,7.05
313,Yazoo City,US,2022-05-25 02:38:38,32.8551,-90.4056,71.71,91,100,8.97
314,Teguise,ES,2022-05-25 02:38:39,29.0605,-13.564,64.62,68,100,12.66
315,Nagar Karnul,IN,2022-05-25 02:38:40,16.4821,78.3247,88.59,44,100,12.03
316,Manokwari,ID,2022-05-25 02:38:41,-0.8667,134.0833,83.71,72,83,14.07
317,Merced,US,2022-05-25 02:35:33,37.1666,-120.7516,93.54,16,7,5.88
318,Maragogi,BR,2022-05-25 02:38:42,-9.0122,-35.2225,76.1,89,100,9.51
319,Rorvik,NO,2022-05-25 02:38:42,64.8621,11.2373,54.95,64,86,22.97
320,Puerto Del Rosario,ES,2022-05-25 02:39:43,28.5004,-13.8627,67.75,68,100,21.85
321,Hamilton,US,2022-05-25 02:38:26,39.1834,-84.5333,68.88,81,0,11.5
322,Tuy Hoa,VN,2022-05-25 02:39:43,13.0833,109.3,89.89,60,98,9.82
323,Nieuw Nickerie,SR,2022-05-25 02:39:44,5.95,-56.9833,77.74,89,6,10.49
324,Chuy,UY,2022-05-25 02:39:44,-33.6971,-53.4616,58.89,91,100,4.23
325,Corbu,RO,2022-05-25 02:39:45,44.3833,28.65,56.52,94,100,5.75
326,Kangaatsiaq,GL,2022-05-25 02:39:45,68.3065,-53.4641,23.56,58,86,4.99
327,Atar,MR,2022-05-25 02:39:46,20.5169,-13.0499,84.9,28,4,3.38
328,Rocha,UY,2022-05-25 02:39:46,-34.4833,-54.3333,59.76,84,100,2.66
329,Villa Carlos Paz,AR,2022-05-25 02:39:47,-31.4241,-64.4978,53.38,50,56,3.0
330,Tuatapere,NZ,2022-05-25 02:39:47,-46.1333,167.6833,47.07,79,100,10.96
331,Namatanai,PG,2022-05-25 02:39:48,-3.6667,152.4333,85.73,62,100,5.99
