City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
279,Skibbereen,IE,51.55,-9.2667,62.11,94,100,9.35,overcast clouds
280,Scarborough,GB,54.2797,-0.4044,61.79,89,12,1.01,few clouds
281,Armidale,AU,-30.5167,151.65,43.2,91,100,7.94,overcast clouds
282,Xingyi,CN,24.1877,102.817,59.67,99,100,2.8,overcast clouds
283,Porto Novo,BJ,6.4965,2.6036,76.86,81,91,8.3,overcast clouds
284,Vestmannaeyjar,IS,63.4427,-20.2734,53.53,91,100,6.04,light rain
285,Kangaatsiaq,GL,68.3065,-53.4641,43.5,91,100,9.17,light rain
286,Coruripe,BR,-10.1256,-36.1756,74.77,80,29,11.05,scattered clouds
287,Xacmaz,AZ,41.4635,48.806,66.11,77,99,0.96,overcast clouds
288,Leshan,CN,29.5623,103.7639,69.89,90,18,2.06,few clouds
289,Gao,ML,16.6362,1.637,92.37,38,41,7.67,scattered clouds
290,Bathsheba,BB,13.2167,-59.5167,88.41,66,40,11.5,scattered clouds
291,Dali,CN,25.7,100.1833,60.31,99,100,3.4,overcast clouds
292,Evensk,RU,61.95,159.2333,46.85,79,100,2.82,overcast clouds
293,Prince Rupert,CA,54.3161,-130.3201,57.29,84,0,11.5,clear sky
294,Hvide Sande,DK,56.0045,8.1294,56.08,78,86,9.82,overcast clouds
295,Karratha,AU,-20.7377,116.8463,70.5,41,0,7.16,clear sky
296,Berlevag,NO,70.8578,29.0864,46.4,87,100,12.66,overcast clouds
297,Fort Frances,CA,48.5999,-93.4003,66.16,56,40,8.05,scattered clouds
298,Airai,TL,-8.9266,125.4092,56.41,75,77,1.81,broken clouds
299,Lazaro Cardenas,MX,17.9583,-102.2,85.5,71,100,10.07,overcast clouds
300,Chkalovsk,RU,56.7647,43.2433,51.98,60,99,4.7,overcast clouds
301,Luorong,CN,24.4058,109.6086,78.57,83,100,0.89,overcast clouds
302,Beringovskiy,RU,63.05,179.3167,46.06,87,100,15.77,overcast clouds
303,Harlingen,US,26.1906,-97.6961,94.05,63,40,4.61,scattered clouds
304,Poum,NC,-20.2333,164.0167,75.4,82,0,7.14,clear sky
305,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,95,75,10.36,broken clouds
306,Kidal,ML,18.4411,1.4078,85.3,43,76,18.77,light rain
307,Fjerritslev,DK,57.0813,9.2664,58.89,86,35,10.49,scattered clouds
308,Banda Aceh,ID,5.5577,95.3222,79.16,80,100,8.99,overcast clouds
309,Ossora,RU,59.2353,163.0719,48.72,74,79,4.34,broken clouds
310,Vestmanna,FO,62.1564,-7.1664,49.12,93,75,13.8,broken clouds
311,Forssa,FI,60.8146,23.6215,43.99,70,21,3.36,few clouds
312,Mackenzie,CA,55.2999,-123.1698,64.62,45,0,13.8,clear sky
313,Bethel,US,41.3712,-73.414,87.03,42,0,0.0,clear sky
314,Prainha,BR,-1.8,-53.48,94.89,34,29,4.74,scattered clouds
315,Leh,IN,34.1667,77.5833,58.78,57,40,3.71,scattered clouds
316,Da Nang,VN,16.0678,108.2208,76.98,94,20,1.14,few clouds
317,Umtata,ZA,-31.5889,28.7844,57.15,96,29,3.83,scattered clouds
318,Afrikanda,RU,67.4429,32.7828,44.89,92,100,5.44,overcast clouds
319,Bambous Virieux,MU,-20.3428,57.7575,67.21,70,5,12.68,clear sky
320,Russell,US,32.3502,-85.1999,80.96,89,40,4.61,scattered clouds
321,Saldanha,ZA,-33.0117,17.9442,51.85,88,35,5.39,scattered clouds
322,Morristown,US,36.214,-83.2949,73.45,78,100,6.91,overcast clouds
323,Auki,SB,-8.7676,160.7034,77.02,85,14,3.18,few clouds
324,Maygatasan,PH,8.7094,125.7183,71.76,98,95,0.69,overcast clouds
325,Batticaloa,LK,7.7102,81.6924,80.19,74,100,4.65,overcast clouds
326,Itarema,BR,-2.9248,-39.9167,80.67,67,0,16.06,clear sky
327,Georgiyevka,KZ,43.0369,74.7114,68.04,49,40,2.24,scattered clouds
328,Port-Gentil,GA,-0.7193,8.7815,76.96,83,40,9.22,scattered clouds
329,Tatarsk,RU,55.219,75.9828,47.37,64,97,7.43,overcast clouds
330,Nieuwpoort,BE,51.1244,2.7735,66.2,80,75,11.5,broken clouds
331,Angren,UZ,41.0167,70.1436,68.02,39,5,2.35,clear sky
332,Sao Filipe,CV,14.8961,-24.4956,79.66,83,53,2.39,broken clouds
333,Clyde River,CA,70.4692,-68.5914,41.23,93,100,4.61,overcast clouds
334,Paredon,MX,16.0333,-93.8667,84.34,74,94,5.95,overcast clouds
335,Basco,PH,20.4487,121.9702,82.51,77,99,21.36,overcast clouds
336,Agaro,ET,7.85,36.65,61.95,98,100,0.78,moderate rain
337,Aswan,EG,24.0934,32.907,96.1,21,0,8.05,clear sky
338,Inhambane,MZ,-23.865,35.3833,68.99,86,0,10.69,clear sky
339,Norman Wells,CA,65.282,-126.8329,48.24,87,100,11.5,light rain
340,Broken Hill,AU,-31.95,141.4333,47.07,75,82,6.6,broken clouds
341,Belaya Gora,RU,68.5333,146.4167,42.57,88,100,3.47,overcast clouds
342,Kavieng,PG,-2.5744,150.7967,80.56,79,40,13.15,moderate rain
343,Letterkenny,IE,54.95,-7.7333,60.73,92,10,3.47,clear sky
344,Dicabisagan,PH,17.0818,122.4157,77.49,89,100,4.27,overcast clouds
345,Hambantota,LK,6.1241,81.1185,78.1,83,99,16.42,overcast clouds
